Date,Product,Category,Region,Salesperson,CustomerSegment,Quantity,SalesAmount,Profit,Target
2023-06-10,Tablet,Electronics,West,SP_15,Consumer,2,3764.4482081576393,1079.1407641316803,4286.682934658421
2024-04-04,Monitor,Accessories,West,SP_5,Home Office,1,630.4047668476694,140.62153939143028,590.9974549318393
2023-11-10,Headphones,Electronics,East,SP_15,Consumer,5,2371.860919977025,361.0228276808451,2722.038767924293
2023-01-22,Monitor,Accessories,South,SP_18,Consumer,5,8825.011200990622,2073.0633752793915,8137.605350047985
2023-09-10,Mouse,Electronics,East,SP_18,Home Office,6,11371.952936155234,3127.687821287805,10643.616480214834
2024-07-14,Printer,Accessories,West,SP_6,Home Office,3,3234.952942337856,307.43500949171965,3312.9552557490074
2024-04-19,Laptop,Accessories,East,SP_2,Corporate,1,407.38981025009355,40.32998827616721,342.7169788758225
2023-02-28,Laptop,Electronics,East,SP_17,Home Office,4,4294.795754794193,653.5828363676104,5019.864248107892
2024-05-25,Printer,Electronics,North,SP_4,Home Office,4,1587.991955143535,146.57633065609667,1791.5089016184372
2024-11-12,Printer,Accessories,North,SP_12,Home Office,2,3579.4680833223856,501.4812285145201,3823.5932867814568
2024-04-20,Printer,Accessories,North,SP_19,Consumer,8,11797.361506473999,2494.2321669296293,14100.796405253748
2024-11-30,Phone,Electronics,West,SP_2,Corporate,6,3804.2797912680426,963.2608816093918,3067.77025183252
2023-07-09,Laptop,Electronics,East,SP_2,Consumer,3,5388.129743910648,676.1226418126596,5196.442322132648
2024-11-17,Printer,Accessories,North,SP_14,Home Office,1,1348.2231122887747,162.3701104510896,1541.4736696371779
2024-07-16,Phone,Electronics,North,SP_15,Corporate,3,5747.62201829269,1407.7980585976468,5593.625475246231
2024-07-20,Keyboard,Accessories,North,SP_20,Home Office,8,15718.909825751878,2283.274713232593,12608.083100870032
2023-09-01,Headphones,Electronics,West,SP_2,Consumer,4,823.6288824971703,209.71143227217706,710.8754443727862
2024-05-19,Phone,Electronics,West,SP_4,Consumer,3,1249.1567287487471,372.679764273893,1216.2151728778429
2023-05-11,Laptop,Electronics,East,SP_19,Home Office,4,4737.840781809217,1397.2705905246344,5056.124871744993
2024-04-29,Mouse,Accessories,East,SP_9,Corporate,4,7682.140696164499,1656.8206409706463,6645.525746757163
2024-10-08,Keyboard,Electronics,East,SP_7,Consumer,2,3979.241087834904,572.2280112446539,3896.5414121313493
2023-01-21,Laptop,Accessories,North,SP_13,Home Office,4,4885.3371341853435,324.25186731286936,3933.2602346648287
2023-06-16,Headphones,Electronics,South,SP_12,Home Office,9,4615.584120912731,1082.4013622849493,4574.044827991048
2023-10-01,Phone,Accessories,West,SP_3,Home Office,4,1973.9601440626843,581.315096212646,2286.5757985246946
2024-01-23,Tablet,Accessories,North,SP_13,Corporate,1,1574.943964605449,105.51512823737113,1635.90565549138
2024-08-23,Monitor,Electronics,North,SP_15,Home Office,1,1265.487821671336,65.22568175307006,1235.4479912846198
2023-11-12,Headphones,Accessories,East,SP_14,Home Office,1,1187.7930180789733,306.3841406299606,1027.3266168855191
2023-01-14,Laptop,Accessories,East,SP_9,Consumer,5,5191.8843097046465,392.323390618484,4573.88095332945
2023-08-30,Printer,Accessories,North,SP_13,Home Office,6,9031.453967082161,635.8662459916827,7501.561610498399
2023-12-12,Phone,Accessories,West,SP_4,Corporate,6,10466.985133268532,2905.4677797559616,11481.910248904096
2024-07-18,Printer,Electronics,West,SP_8,Home Office,6,4471.9472769128715,312.5453026219055,3715.5357793321286
2023-12-06,Printer,Electronics,North,SP_3,Corporate,9,5378.867828249428,422.2648651934688,5129.178263628522
2023-04-02,Printer,Electronics,South,SP_2,Home Office,1,1406.3584993668962,270.5741197761383,1546.906982664248
2024-01-02,Printer,Accessories,South,SP_19,Home Office,6,11079.110179793497,2650.1624111559586,12022.264634018771
2024-03-30,Printer,Accessories,West,SP_8,Home Office,8,6613.467138074841,991.312857476962,6818.5697124170265
2024-03-03,Keyboard,Electronics,East,SP_17,Corporate,8,5523.254356154781,856.9179462914095,5680.794657410514
2024-05-23,Laptop,Electronics,South,SP_13,Consumer,3,1821.0190032723451,379.0569363051547,1522.6108629141445
2023-02-04,Headphones,Accessories,South,SP_7,Corporate,5,3290.4181692696775,580.2860517934055,2862.552290721229
2023-07-25,Laptop,Electronics,East,SP_9,Consumer,4,1771.520069314264,96.82610209391032,1796.140270539405
2023-03-22,Headphones,Electronics,South,SP_12,Corporate,1,1274.2008096950362,99.89198746369662,1196.7703421968986
2024-07-15,Monitor,Accessories,North,SP_14,Home Office,9,6349.382312312343,1240.6693284700114,5127.601407741281
2024-01-23,Phone,Electronics,South,SP_14,Home Office,5,6534.49925492114,1623.2717323159443,7313.847372457607
2023-01-02,Tablet,Accessories,East,SP_15,Consumer,2,698.9164582452452,168.28215983219002,741.9175077964057
2024-01-25,Keyboard,Electronics,North,SP_3,Consumer,2,815.6444516243646,191.687979200238,758.8056046228929
2024-07-19,Phone,Accessories,South,SP_15,Corporate,7,8155.388290241501,1980.2763302140108,6844.671238608834
2023-04-16,Keyboard,Accessories,West,SP_19,Corporate,4,4483.022800227301,273.9614194324148,4646.564835969827
2024-04-21,Headphones,Accessories,North,SP_20,Consumer,1,688.7178681281996,188.55400380122228,646.9952208226491
2024-12-03,Laptop,Accessories,North,SP_14,Consumer,5,8444.177664584882,2299.525016859522,7617.963305802826
2024-02-06,Printer,Accessories,West,SP_8,Corporate,2,1073.369793523178,196.40627526309166,1168.4571560758527
2024-12-30,Monitor,Electronics,West,SP_5,Consumer,7,5944.330164708144,666.6482052555825,5535.717054345308
2024-07-09,Monitor,Electronics,South,SP_19,Consumer,9,10799.289638372915,2138.7411932126533,9227.122536945855
2023-06-11,Mouse,Electronics,South,SP_4,Consumer,1,1760.9799845276564,333.6554867255202,1748.0570313823832
2023-07-21,Tablet,Accessories,East,SP_14,Consumer,2,1906.7835106003959,201.62195732832,2157.308770132604
2023-09-27,Monitor,Electronics,East,SP_16,Home Office,6,5504.890318761767,1105.2858866724591,6274.823621165982
2023-09-28,Printer,Accessories,North,SP_20,Home Office,8,9945.338963657843,2479.607007770526,11335.073439088423
2024-03-31,Laptop,Accessories,West,SP_6,Consumer,7,5390.362234832493,1355.820111982138,5219.853950346596
2024-04-06,Tablet,Electronics,West,SP_6,Corporate,9,13288.606701185348,862.755555358028,14835.05082481752
2024-12-27,Headphones,Accessories,East,SP_3,Home Office,2,1295.305386401217,128.6119442679078,1476.767706492855
2023-09-09,Phone,Electronics,North,SP_15,Corporate,9,15135.775150431438,3285.3083915726406,14890.806929348191
2024-12-02,Headphones,Accessories,North,SP_3,Corporate,4,2760.9445745609205,731.5343149094908,2560.7643742641703
2023-10-23,Printer,Accessories,East,SP_11,Home Office,3,5960.5862763687655,1074.7191609823785,6442.11711878167
2024-12-25,Printer,Electronics,East,SP_3,Corporate,7,5387.427176528297,1222.30711224622,6259.046676512823
2024-12-20,Monitor,Accessories,East,SP_10,Corporate,5,8909.43524789678,492.40669101750063,10592.080045236933
2023-12-04,Tablet,Electronics,South,SP_18,Consumer,5,4576.203586954515,924.8745547796614,4192.2139882688025
2023-02-22,Laptop,Accessories,North,SP_1,Consumer,2,1285.797431311349,373.49494833343743,1520.414860196448
2023-08-05,Headphones,Electronics,North,SP_16,Consumer,6,3642.5631049718368,784.0750101048191,3641.517320307134
2023-07-07,Mouse,Accessories,North,SP_16,Home Office,6,10382.065843978686,2912.8850962107203,9576.56165542108
2024-01-15,Headphones,Electronics,East,SP_10,Consumer,4,3023.0215014527125,578.9157655615943,3613.596696842553
2024-05-07,Keyboard,Electronics,East,SP_1,Corporate,5,4047.067080637723,1055.655935572574,4658.672768208165
2023-02-10,Keyboard,Accessories,East,SP_4,Corporate,7,3882.1125035706505,314.60873457066157,4180.90564241866
2023-06-06,Laptop,Electronics,East,SP_3,Corporate,8,15443.075940873521,1249.0099716602217,17882.725081684093
2023-01-15,Laptop,Accessories,West,SP_5,Corporate,6,3843.2345584673653,307.63106571804417,4122.23474419627
2023-03-06,Keyboard,Accessories,East,SP_12,Corporate,5,3226.9925708345086,555.7280967112848,3150.065970963582
2024-06-04,Mouse,Electronics,South,SP_12,Home Office,3,5697.048607375357,755.2343202022462,6718.072649395223
2023-12-10,Tablet,Electronics,West,SP_13,Corporate,7,12751.325572939304,2930.20952077303,15114.13435672569
2023-05-09,Keyboard,Electronics,West,SP_12,Home Office,8,5184.316717790707,1429.0853059274855,4798.966657909651
2024-10-09,Laptop,Electronics,East,SP_16,Corporate,3,5269.518075397142,1079.4276174233494,4962.611508844869
2024-04-16,Monitor,Electronics,North,SP_13,Home Office,5,3248.408917775052,335.56921383735335,3096.020131338897
2023-03-04,Phone,Accessories,East,SP_5,Home Office,2,704.070993470348,199.05439990346454,794.7964415775515
2023-05-19,Mouse,Electronics,North,SP_4,Corporate,4,6706.601708449941,1220.3623168660054,7487.640876190788
2024-05-13,Printer,Accessories,East,SP_15,Corporate,4,6355.218736270061,1461.613803909169,7583.339602478547
2024-08-15,Mouse,Electronics,East,SP_12,Corporate,8,5843.206552357189,1593.0127326616691,5761.901084238419
2024-01-27,Monitor,Electronics,North,SP_19,Corporate,3,1086.7505196620903,323.2626176297578,1189.6732246688268
2024-11-05,Monitor,Electronics,North,SP_19,Consumer,5,2857.9499602943297,504.47385882509656,3265.7456613467493
2024-02-23,Printer,Accessories,North,SP_11,Consumer,5,7939.509138158188,2000.880791706404,7054.19174460793
2023-10-16,Headphones,Electronics,North,SP_6,Home Office,2,3873.092133792736,742.5366995872009,4059.8610449852654
2024-01-14,Laptop,Accessories,South,SP_9,Home Office,9,5995.8335630707625,1028.9659022260043,6110.25247801414
2024-05-04,Keyboard,Accessories,North,SP_1,Consumer,4,6691.463367455233,1234.0940746126016,7341.410570890852
2023-08-19,Headphones,Accessories,East,SP_12,Home Office,9,5492.509048861902,939.5969921507235,5921.8650340332515
2023-02-10,Tablet,Electronics,East,SP_14,Corporate,9,12809.526347566352,1988.7690125700071,14412.216423577598
2023-01-28,Mouse,Accessories,South,SP_6,Home Office,2,701.0084885134947,161.88401126646306,648.0529586494051
2023-05-15,Printer,Electronics,North,SP_1,Home Office,9,11281.789374192613,1268.2869605474236,10001.786395602814
2023-07-20,Mouse,Accessories,East,SP_2,Home Office,9,6160.876237354434,1257.4062933251928,6912.992880921748
2023-02-02,Headphones,Electronics,South,SP_11,Consumer,2,3733.045415441165,852.0304515209638,3524.836197621707
2023-02-17,Monitor,Accessories,East,SP_3,Consumer,6,4329.309598812699,1181.9998319434349,3961.4456649286617
2024-05-17,Keyboard,Electronics,South,SP_10,Home Office,9,8254.739256769368,1097.6267952784142,7715.931047445024
2024-02-11,Mouse,Electronics,South,SP_6,Corporate,4,6852.889600312983,1817.0421416466277,5664.198310335525
2024-07-27,Tablet,Electronics,West,SP_6,Home Office,2,1977.7884971684596,566.2859261392213,2193.877195527037
2024-12-28,Monitor,Accessories,West,SP_20,Consumer,7,4403.994372615973,934.3948064374316,4783.019142785767
2023-04-09,Tablet,Accessories,North,SP_2,Corporate,9,10670.217998487615,2591.350491366274,10895.113986178774
2024-11-14,Keyboard,Electronics,West,SP_10,Home Office,6,10271.904913019805,1555.4410741034437,11159.746659715267
2024-12-26,Mouse,Accessories,South,SP_6,Consumer,4,3918.8788064334976,1128.7697696838984,3720.008508805722
2024-06-30,Phone,Accessories,East,SP_17,Corporate,1,439.1992805687617,95.62043113725562,403.24977874698476
2024-09-04,Headphones,Accessories,East,SP_14,Home Office,4,3558.225774424521,453.8132763554745,4073.885261783751
2024-04-06,Mouse,Accessories,North,SP_5,Consumer,3,5754.165718708633,869.2549823486769,5575.682017394881
2024-10-04,Headphones,Accessories,West,SP_17,Corporate,7,2307.4724166087294,471.73707309707555,2026.802706275417
2023-01-05,Keyboard,Accessories,North,SP_2,Home Office,5,4676.006552032179,507.50471843176496,5141.818944491001
2023-08-06,Mouse,Accessories,South,SP_9,Corporate,3,4099.355487276894,977.6085619562115,3830.2276413775026
2024-05-17,Headphones,Electronics,West,SP_12,Corporate,2,682.6638143625622,72.48038260601368,603.9803383500013
2024-02-02,Printer,Electronics,North,SP_19,Corporate,2,1641.8291692110452,324.99564937072074,1331.335813358021
2024-01-28,Headphones,Accessories,East,SP_7,Consumer,5,9465.205185462368,2122.587674548039,11246.942066571712
2023-07-26,Mouse,Electronics,East,SP_9,Home Office,8,2041.153967768463,540.7771555159572,2014.4470062711966
2023-01-15,Laptop,Electronics,North,SP_16,Corporate,8,12425.08306488558,2900.9475601271693,10744.00845541701
2024-07-07,Mouse,Electronics,North,SP_20,Corporate,5,8572.374695223965,2140.575734944392,9456.396239335574
2024-04-05,Mouse,Accessories,North,SP_11,Corporate,2,1397.4186115039006,388.8079031869144,1614.102971944851
2024-11-21,Headphones,Accessories,South,SP_12,Consumer,4,2345.9434605426486,467.881744263955,2372.18799227937
2024-07-28,Tablet,Accessories,South,SP_15,Corporate,7,12926.743259186209,3381.248268761625,10488.032784419867
2023-08-29,Phone,Accessories,East,SP_18,Consumer,6,9451.218311191824,1020.429684490093,8941.392986152763
2024-07-17,Tablet,Accessories,South,SP_19,Consumer,7,2828.596941048229,717.5677857205861,2537.9321700033106
2023-04-06,Headphones,Electronics,South,SP_16,Corporate,5,2909.775299647626,306.75341601062365,3068.529695136153
2024-04-29,Tablet,Accessories,West,SP_15,Corporate,2,2636.878557973196,747.9698645381789,2656.768851209026
2024-02-11,Monitor,Electronics,South,SP_5,Consumer,8,7639.603776115251,1012.196577520502,7198.758434765573
2023-08-19,Laptop,Accessories,West,SP_11,Consumer,2,2215.0277335764395,205.907869589132,2346.604933339261
2024-10-16,Tablet,Electronics,South,SP_15,Corporate,8,15302.211065472653,1331.9379634752418,15818.992943383082
2023-06-20,Printer,Accessories,East,SP_18,Consumer,7,6694.966836218871,648.193662246937,7783.541997223646
2024-06-24,Keyboard,Accessories,North,SP_13,Consumer,3,5361.082777397052,867.8792989770905,5568.670233505029
2023-02-05,Printer,Accessories,East,SP_4,Corporate,4,5557.361974356128,1003.3113914481879,5574.505068294944
2024-06-08,Keyboard,Accessories,South,SP_17,Corporate,7,2932.405179790808,816.517836117689,3312.0579123174875
2023-06-09,Mouse,Accessories,North,SP_4,Home Office,4,6160.450663863581,894.8282571026225,5427.159085441176
2024-11-29,Monitor,Accessories,North,SP_16,Corporate,9,10227.3869980923,1067.438284205568,9178.321440746859
2023-08-31,Laptop,Electronics,North,SP_15,Corporate,7,4236.225354939056,999.5597311251897,4716.737236908668
2023-03-27,Printer,Accessories,West,SP_14,Corporate,1,721.1887815481366,60.3372511734361,704.5582337389068
2024-07-31,Laptop,Electronics,East,SP_12,Home Office,1,1203.1983645513524,328.5583917088276,1159.515459635265
2024-11-12,Printer,Accessories,West,SP_3,Consumer,4,5132.25792904971,781.8990274400962,5926.891489461332
2024-07-10,Mouse,Electronics,North,SP_10,Corporate,9,17484.457745277577,3557.394258079876,18254.536448265768
2024-07-27,Keyboard,Electronics,East,SP_8,Corporate,4,6953.984982156272,671.3800297247977,7796.555227475554
2024-10-07,Phone,Electronics,East,SP_6,Home Office,5,2852.5535829574856,246.41010305598485,3206.0863751563506
2023-01-28,Monitor,Electronics,South,SP_14,Home Office,1,1593.1857270208618,397.8341588614694,1351.0384851704175
2024-09-11,Printer,Electronics,West,SP_17,Home Office,2,429.85050934592397,67.6694627289423,456.2781307100005
2024-07-09,Printer,Electronics,West,SP_19,Consumer,4,1734.6209203890367,514.6372275190532,2048.5986435640043
2023-12-06,Mouse,Accessories,South,SP_16,Home Office,4,2237.842995677239,405.2162704440851,2219.9645006456
2023-11-27,Monitor,Electronics,West,SP_15,Consumer,6,7649.75300871869,1999.746625036023,8360.208292003123
2024-10-01,Keyboard,Accessories,North,SP_15,Corporate,6,3302.598068042016,974.2364414262905,3390.754846614652
2024-05-20,Keyboard,Accessories,North,SP_1,Corporate,8,6859.930365308423,825.1641508013055,6050.035939809469
2023-12-14,Printer,Electronics,West,SP_12,Corporate,9,5733.032470701688,1434.5218387795537,5034.0465801538085
2024-04-17,Phone,Electronics,South,SP_10,Home Office,1,807.349923883934,44.809164765479295,785.9820082636356
2023-08-19,Phone,Accessories,East,SP_14,Corporate,1,1896.4126005213186,417.0941987128637,1883.5098444591401
2023-07-09,Laptop,Electronics,West,SP_10,Home Office,6,11971.664608030645,2828.907612501877,11986.664829137624
2023-08-13,Monitor,Electronics,East,SP_10,Consumer,4,5737.199165101587,971.5426313637688,6781.371151527281
2024-01-20,Monitor,Electronics,South,SP_20,Corporate,4,4920.6166744809025,445.4452337051478,4133.819012214862
2024-01-12,Keyboard,Electronics,East,SP_11,Consumer,1,1475.2061224693098,301.2077882179549,1404.7070452552116
2023-10-10,Laptop,Electronics,South,SP_16,Home Office,9,14300.765646786316,3923.875037304865,14383.98143095733
2024-09-24,Mouse,Electronics,South,SP_9,Home Office,3,4590.668815491378,1298.3779424676566,5441.06769982118
2024-09-19,Monitor,Electronics,North,SP_15,Corporate,5,1737.0327538000433,410.8527101518416,1740.030745187195
2023-09-16,Laptop,Accessories,North,SP_14,Corporate,1,758.5281547161932,87.93489055775127,842.0499083247823
2023-12-25,Laptop,Electronics,South,SP_19,Home Office,8,6545.4118977723965,1751.432649084689,7198.06305546589
2024-12-10,Printer,Accessories,West,SP_9,Corporate,3,2593.9741604107626,706.0947250708502,2662.915819342967
2024-03-31,Keyboard,Accessories,North,SP_4,Corporate,1,819.7648015727756,116.25129855910859,698.6701622440148
2024-02-15,Laptop,Accessories,South,SP_7,Consumer,6,9700.596812463538,928.7878531868448,8609.313467778726
2024-10-10,Headphones,Accessories,East,SP_8,Home Office,1,1545.6884021918809,415.2721559115092,1385.02352681375
2023-11-14,Phone,Electronics,East,SP_8,Consumer,3,624.8416356203196,169.50349531744652,509.53577148559134
2024-11-07,Headphones,Accessories,West,SP_19,Corporate,5,3667.4337114524715,275.88827961607257,3490.2497344989283
2023-08-13,Phone,Accessories,East,SP_15,Consumer,4,5290.378264054344,1543.4470835166737,5524.242021949932
2023-08-22,Tablet,Accessories,East,SP_16,Home Office,7,2915.346837058874,534.2960179319108,2500.511988736249
2024-11-14,Keyboard,Accessories,South,SP_9,Consumer,6,1968.9415804437497,587.5962541635926,1713.0075354620185
2024-10-25,Printer,Accessories,East,SP_12,Consumer,3,5073.349845291801,818.0881266121839,5493.395468163424
2024-01-09,Mouse,Electronics,East,SP_16,Corporate,8,8118.653519277795,1488.3183409297922,7044.566663715361
2024-11-02,Headphones,Electronics,East,SP_4,Home Office,8,13921.89809806029,1622.1894229897596,11891.16972670953
2024-08-30,Headphones,Accessories,East,SP_5,Corporate,2,3364.7898178356363,924.4317937516494,4007.924823469221
2024-04-16,Tablet,Electronics,South,SP_8,Corporate,7,12656.46857897138,2036.780545908055,10199.773510270219
2023-08-21,Phone,Electronics,East,SP_1,Home Office,1,286.89421440916476,72.77172546098161,266.85845997102956
2024-11-22,Printer,Accessories,West,SP_6,Consumer,2,1070.0682379901846,74.83369071411418,871.0084350703653
2023-04-23,Tablet,Accessories,North,SP_15,Corporate,8,5864.461567380456,1448.883592975285,6657.44982308359
2024-05-11,Keyboard,Accessories,West,SP_4,Consumer,1,445.21469810814824,76.82659804967751,460.09122923170224
2024-03-17,Printer,Electronics,North,SP_11,Home Office,2,2147.691354828571,110.28818187911465,1759.3473958260868
2024-07-17,Keyboard,Accessories,West,SP_5,Corporate,1,1638.1584020703056,174.5715537530145,1713.7509948305403
2023-09-25,Laptop,Electronics,North,SP_18,Consumer,5,9560.636297647341,941.0778377508567,8119.260973925573
2024-05-24,Monitor,Electronics,North,SP_15,Consumer,7,12608.634094403473,3000.112837435962,12587.111699295521
2024-01-21,Laptop,Electronics,North,SP_18,Corporate,6,6139.23614417073,1039.3760401225234,6555.262499470209
2024-01-22,Keyboard,Accessories,North,SP_20,Home Office,6,8074.103894806284,726.1009269311913,6938.907600729577
2023-04-23,Headphones,Electronics,South,SP_13,Consumer,6,3691.5181332454513,421.5741182707639,3687.1627439288773
2024-09-04,Printer,Accessories,West,SP_5,Home Office,8,7403.329599019646,1303.1281631760623,7277.209227276181
2024-09-16,Phone,Accessories,North,SP_1,Corporate,5,8840.643358780027,485.43574261714804,10310.844035868593
2023-03-22,Mouse,Accessories,West,SP_18,Consumer,7,1767.888777445458,275.8461557293573,2118.426750418956
2024-11-29,Phone,Accessories,East,SP_14,Consumer,3,3476.900072274761,763.2329394563418,3691.736958138156
2023-04-23,Printer,Accessories,North,SP_5,Consumer,9,15939.332425964147,2860.1322337829147,18201.819644296516
2023-01-02,Laptop,Electronics,West,SP_6,Home Office,3,1258.8533187941064,251.1725640027362,1332.8144546302897
2024-10-03,Mouse,Electronics,South,SP_16,Consumer,6,11811.498981072118,1555.0373381243046,13589.300870117933
2023-08-08,Printer,Electronics,West,SP_12,Consumer,3,666.9139054983136,63.86963180190237,649.1131869085556
2024-07-19,Keyboard,Electronics,North,SP_20,Corporate,1,1795.0160206336957,453.12544822072255,1872.5534305846284
2023-08-13,Headphones,Electronics,East,SP_18,Consumer,1,836.6106339109405,231.24647266660367,952.1196313397974
2024-01-20,Phone,Accessories,West,SP_2,Home Office,3,1316.5291410599189,233.9276681580239,1536.6979547126637
2024-02-07,Keyboard,Accessories,East,SP_13,Corporate,4,1932.9788618326527,244.05849706853988,1565.4675701678696
2024-09-29,Mouse,Electronics,South,SP_17,Corporate,2,2924.243386075375,519.9340047157085,2460.9878980149324
2023-05-10,Mouse,Electronics,West,SP_17,Consumer,9,15905.658761826293,4290.493875052473,18648.889031937288
2023-02-22,Phone,Electronics,West,SP_16,Corporate,8,10831.355494817746,2413.784759689224,11128.172630620675
2024-11-14,Keyboard,Accessories,South,SP_18,Consumer,3,5615.1148453480655,1486.0627254129768,6716.10880683618
2024-12-30,Tablet,Accessories,South,SP_8,Corporate,7,12015.232817716927,1587.1504460934318,13421.654473077047
2024-11-02,Keyboard,Accessories,South,SP_3,Home Office,4,865.0290099726831,197.22210062538363,975.1092052430268
2024-12-10,Mouse,Electronics,North,SP_17,Consumer,5,7024.866979871213,1498.1388880462634,6704.877285570023
2024-02-20,Keyboard,Electronics,North,SP_18,Home Office,4,2993.3697587429065,577.4333446647987,2703.0624477823108
2023-09-04,Headphones,Electronics,West,SP_6,Consumer,9,9162.900189870643,1668.162938972288,9523.035791444683
2024-03-14,Printer,Electronics,West,SP_8,Home Office,7,2584.787426491257,485.27954747806274,2976.674387606593
2023-07-22,Laptop,Accessories,West,SP_13,Home Office,4,2831.1139654758827,742.9346203203864,3086.705245472358
2023-07-03,Headphones,Electronics,East,SP_8,Corporate,8,10710.677931028107,2988.2644182634554,10591.468686198956
2023-05-03,Tablet,Electronics,South,SP_19,Consumer,2,1186.1756689227664,92.77686765541182,1306.311766538583
2024-02-05,Monitor,Electronics,West,SP_6,Corporate,7,9558.962020217034,1837.1645781020845,10286.96347980943
2023-10-21,Printer,Accessories,South,SP_15,Home Office,1,1861.4579074340102,520.4675504383999,2169.009043860476
2023-10-07,Laptop,Accessories,North,SP_10,Consumer,8,1671.1403920713842,139.84937751018447,1513.0887621359977
2024-09-01,Monitor,Electronics,South,SP_17,Home Office,6,9686.323773082471,1484.088579280562,8211.33478814691
2023-07-17,Phone,Accessories,East,SP_1,Home Office,5,6771.869921468695,489.40332931605076,6690.7460700082565
2024-05-25,Monitor,Accessories,East,SP_7,Home Office,9,2555.450756287434,200.2683771485118,2413.450297509373
2023-05-24,Printer,Accessories,South,SP_13,Home Office,9,14600.707623372571,4030.1997894965157,17374.031131382282
2024-08-31,Keyboard,Accessories,East,SP_3,Corporate,3,1812.4135897405076,292.7861652399164,1455.3711484749185
2023-07-20,Printer,Accessories,East,SP_19,Home Office,9,6106.292759706523,1356.7261286280902,7164.838301125192
2023-05-04,Headphones,Electronics,North,SP_15,Corporate,9,3314.954056003848,280.8714354923389,3918.380741775581
2023-07-06,Monitor,Electronics,West,SP_5,Home Office,2,2323.7673352357338,128.9385774305235,1906.3800327450565
2023-11-22,Mouse,Electronics,East,SP_11,Consumer,5,5484.0136624140405,1495.057230186125,6338.576216873017
2024-04-08,Laptop,Accessories,West,SP_18,Home Office,2,1649.8282228106405,319.4668139957235,1630.5442647789118
2023-12-15,Laptop,Accessories,South,SP_3,Home Office,1,503.7568539801915,27.705084915153442,557.3869570523958
2024-10-21,Monitor,Accessories,South,SP_6,Consumer,7,11958.21478668823,3564.562902896306,9945.673695088488
2024-02-07,Laptop,Accessories,East,SP_3,Consumer,4,7109.924696487236,1230.3589296774676,8404.51569472695
2023-12-12,Mouse,Electronics,South,SP_5,Home Office,5,5865.21649642305,991.0405113089458,6117.534532443947
2024-05-25,Printer,Electronics,North,SP_9,Home Office,4,2558.4224019155226,525.0613098053008,2966.433776767052
